"Heuristica","Makespan","Heuristic ETC/MET ETC","MPR","FlowTime","Utilização média das máquinas","Tempo computacional"
"MET","1345163.241","1.000","1.000","162809113.000","0.473","13.0"
"MCT","1181897.890","1.429","0.879","232509371.000","0.769","13.0"
"MinMin","998990.060","1.043","0.743","169766501.000","0.664","41796.0"
"XSufferage","845999.800","1.106","0.629","179926820.000","0.831","98803.0"
"MinMean","986447.001","1.081","0.734","175894100.000","0.697","54242.0"
"MaxMin","1776863.870","2.762","1.321","449646605.000","0.989","44854.0"
"MinVar","872686.340","1.141","0.649","185720933.000","0.832","23350.0"
"OLB","86424006.520","126.003","64.248","20514329504.000","0.928","16.0"
"MinMax","933147.690","1.414","0.694","230163184.000","0.964","38069.0"
"MinMax2","911367.530","1.350","0.678","219777573.000","0.942","41146.0"
