"Heuristica","Makespan médio","Desvio Padrão Makespan","Heuristic ETC/MET ETC","MPR","FlowTime médio","Desvio Padrão Flowtime","Utilização média das máquinas","Desvio Padrão Utilização","Tempo computacional médio","Desvio Padrão Tempo computacional"
"MET","11490092.995","7.272%","1.000","1.000","255004190.090","1.575%","0.697","6.793%","0.2","234.521%"
"MCT","10059561.430","2.243%","1.213","0.876","309103010.940","1.889%","0.961","1.054%","0.19","219.481%"
"MinMin","8746958.370","2.317%","1.019","0.762","259772751.700","1.574%","0.929","1.463%","25.01","28.265%"
"XSufferage","8422607.134","1.833%","1.031","0.734","262886909.340","1.582%","0.976","0.832%","83.43","24.218%"
"MinMean","8676673.907","2.309%","1.026","0.756","261399507.980","1.570%","0.942","1.476%","26.11","28.946%"
"MaxMin","14981675.969","2.237%","1.873","1.304","477553404.730","2.224%","0.997","0.074%","52.01","49.640%"
"MinVar","8402748.353","1.647%","1.042","0.732","265657409.840","1.652%","0.988","0.243%","26.27","25.592%"
"OLB","33519861.961","2.353%","4.016","2.918","1023978933.160","2.153%","0.955","0.885%","0.17","220.961%"
"MinMax","9632961.951","1.824%","1.202","0.839","306308306.360","1.824%","0.994","0.125%","81.34","16.920%"
"MinMax2","8627819.693","1.599%","1.074","0.751","273841129.880","1.585%","0.992","0.221%","93.5","16.829%"
